,Yearly Clock (cos),Yearly Clock (sin),Weekly Clock (cos),Weekly Clock (sin),Month,Time,Year,Daytype,Photovoltaics[MWh],Wind onshore[MWh],Wind offshore[MWh],PV + W / Residual Load,COVID,Oil Price
20782,-0.6826441781452959,0.7307509329753425,0.1971096356142461,0.98038145206242,6,02:00:00,2020,Monday,0,2185,855,0.482233502538071,0.0,39.44
20783,-0.6831674233586387,0.7302617829665733,0.1604656653673672,0.987041422757023,6,03:00:00,2020,Monday,0,1965,808,0.4250459840588595,0.0,39.44
20787,-0.6852568965172782,0.7283014388119169,0.0121764148019704,0.9999258647132648,6,07:00:00,2020,Monday,656,1543,574,0.2598388305847076,0.0,39.44
20788,-0.6857783865432412,0.7278104180005593,-0.0250670828889733,0.9996857713078832,6,08:00:00,2020,Monday,1357,1141,594,0.2702324768397133,0.0,39.44
20789,-0.6862995247283507,0.7273190237836764,-0.0622758091328287,0.9980589780152532,6,09:00:00,2020,Monday,2183,937,542,0.322870745900194,0.0,39.44
20790,-0.6868203108052349,0.7268272564133795,-0.099398150374535,0.9950477414185318,6,10:00:00,2020,Monday,3022,943,396,0.3932016950680732,0.0,39.44
20791,-0.6873407445067028,0.7263351161419715,-0.1363826128867586,0.9906562385117152,6,11:00:00,2020,Monday,3580,885,339,0.4368861404146962,0.0,39.44
20792,-0.6878608255657445,0.7258426032219469,-0.1731778941990213,0.9848905609055214,6,12:00:00,2020,Monday,3860,843,286,0.4549931600547195,0.0,39.44
20793,-0.6883805537155302,0.7253497179059905,-0.2097329542605146,0.9777587063775792,6,13:00:00,2020,Monday,3926,775,198,0.4529819694868238,0.0,39.44
20794,-0.6888999286894121,0.7248564604469792,-0.2459970862399214,0.9692705677784036,6,14:00:00,2020,Monday,3771,770,111,0.4382477626000942,0.0,39.44
20795,-0.6894189502209229,0.7243628310979799,-0.2819199868630039,0.9594379193085728,6,15:00:00,2020,Monday,3527,738,51,0.4007428040854224,0.0,39.44
20796,-0.6899376180437771,0.7238688301122513,-0.3174518261894101,0.9482744001864696,6,16:00:00,2020,Monday,3024,717,27,0.3421100417650263,0.0,39.44
20797,-0.6904559318918702,0.7233744577432418,-0.3525433167340105,0.935795495728732,6,17:00:00,2020,Monday,2394,753,19,0.2743738625530809,0.0,39.44
20798,-0.6909738914992798,0.7228797142445911,-0.3871457818351148,0.9220185158700868,6,18:00:00,2020,Monday,1654,743,54,0.2011489536315141,0.0,39.44
20799,-0.6914914966002649,0.7223845998701286,-0.4212112231760316,0.9069625711519474,6,19:00:00,2020,Monday,885,753,59,0.1314077745082855,0.0,39.44
20800,-0.6920087469292666,0.7218891148738746,-0.4546923873646164,0.8906485462137496,6,20:00:00,2020,Monday,350,745,62,0.0905320813771518,0.0,39.44
20801,-0.692525642220908,0.7213932595100394,-0.4875428314804666,0.8730990708230134,6,21:00:00,2020,Monday,46,726,79,0.0688511326860841,0.0,39.44
20802,-0.693042182209994,0.720897034033023,-0.5197169874978499,0.8543384884846051,6,22:00:00,2020,Monday,0,685,91,0.0649100794646591,0.0,39.44
20803,-0.6935583666315123,0.7204004386974157,-0.5511702254941412,0.8343928226733123,6,23:00:00,2020,Monday,0,645,91,0.0668786915038618,0.0,39.44
20804,-0.6940741952206326,0.719903473757997,-0.5818589155578949,0.8132897407356068,6,00:00:00,2020,Tuesday,0,576,79,0.0643861201218912,0.0,40.75
20805,-0.6945896677127075,0.7194061394697369,-0.6117404883097267,0.7910585155110695,6,01:00:00,2020,Tuesday,0,514,95,0.0620352449831924,0.0,40.75
20806,-0.6951047838432721,0.7189084360877941,-0.64077349395126,0.7677299847273744,6,02:00:00,2020,Tuesday,0,346,172,0.0537288663001763,0.0,40.75
20808,-0.6961339459629252,0.7179119230644433,-0.6961339459628926,0.717911923064475,6,04:00:00,2020,Tuesday,0,302,84,0.0395006139991813,0.0,40.75
20810,-0.6971616794675336,0.716913936733,-0.7476332082627017,0.6641118775498746,6,06:00:00,2020,Tuesday,217,254,42,0.0436447166921898,0.0,40.75
20811,-0.6976750098299778,0.7164143917166519,-0.77184474789285,0.6358110451621793,6,07:00:00,2020,Tuesday,722,178,53,0.0731164646309651,0.0,40.75
20812,-0.6981879822479666,0.7159144791415473,-0.7949856340681614,0.6066282565338046,6,08:00:00,2020,Tuesday,1499,127,51,0.1253456910082966,0.0,40.75
20813,-0.6987005964583182,0.7154141992641678,-0.8170237672377104,0.5766039921546673,6,09:00:00,2020,Tuesday,2381,85,52,0.1962128886464583,0.0,40.75
20814,-0.6992128521980339,0.7149135523411837,-0.8379285775187195,0.5457798997558039,6,10:00:00,2020,Tuesday,3253,93,48,0.2748400680217022,0.0,40.75
20815,-0.6997247492042993,0.7144125386294535,-0.8576710671013126,0.5141987365380197,6,11:00:00,2020,Tuesday,3823,86,51,0.3273268308811374,0.0,40.75
20816,-0.7002362872144839,0.713911158386024,-0.8762238504720318,0.4819043098624108,6,12:00:00,2020,Tuesday,4193,92,44,0.3643939393939394,0.0,40.75
20817,-0.7007474659661417,0.71340941186813,-0.8935611924014704,0.4489414164833341,6,13:00:00,2020,Tuesday,4417,112,17,0.3939341421143847,0.0,40.75
20818,-0.7012582851970105,0.7129072993331941,-0.909659043642672,0.4153557804089158,6,14:00:00,2020,Tuesday,4441,140,11,0.4226026136572796,0.0,40.75
20822,-0.7032979616738163,0.7108951941780555,-0.9612353671802596,0.2757291585629482,6,18:00:00,2020,Tuesday,2367,368,41,0.2328077826232807,0.0,40.75
20823,-0.703806979373272,0.7103912554258187,-0.9708362360904528,0.2397436186715361,6,19:00:00,2020,Tuesday,1349,362,42,0.1361870727159726,0.0,40.75
20824,-0.7043156359822453,0.7098869522050151,-0.9790904233354796,0.2034255218323199,6,20:00:00,2020,Tuesday,554,319,21,0.0680054769511638,0.0,40.75
20825,-0.7048239312397684,0.7093822847743791,-0.985986479237051,0.1668252461761241,6,21:00:00,2020,Tuesday,74,318,8,0.0309789343246592,0.0,40.75
20826,-0.7053318648850586,0.708877253392832,-0.9915148380293608,0.1299935612544346,6,22:00:00,2020,Tuesday,0,276,8,0.0226024671707122,0.0,40.75
20828,-0.7063466462967382,0.7078660998136234,-0.9984396977683196,0.0558405759310071,6,00:00:00,2020,Wednesday,0,195,10,0.0190644471310332,0.0,40.47
20829,-0.7068534935424906,0.7073599781347374,-0.9998265929943668,0.0186221357871875,6,01:00:00,2020,Wednesday,0,184,10,0.0189305230288836,0.0,40.47
